Time,x,y
0.0,0.0,9.473689064711843
0.1,0.1,8.731857290013549
0.2,0.2,8.41570767319182
0.3,0.3,8.518567853013362
0.4,0.4,10.9922300964968
0.5,0.5,7.816264070467736
0.6,0.6,7.671860362797746
0.7,0.7,8.31355468714836
0.8,0.8,8.878095545012025
0.9,0.9,7.256487349828162
1.0,1.0,8.759814978278575
1.1,1.1,7.678265264562704
1.2,1.2,9.13083439923374
1.3,1.3,7.442591727223539
1.4,1.4,8.818563511214233
1.5,1.5,6.365019617910702
1.6,1.6,9.609582294357864
1.7,1.7,7.734361686892465
1.8,1.8,7.601274976905406
1.9,1.9,6.004406606760313
2.0,2.0,7.583254822560208
2.1,2.1,7.947394386364707
2.2,2.2,8.031648376572477
2.3,2.3,8.582804909958107
2.4,2.4,9.485621307262491
2.5,2.5,8.709326111971793
2.6,2.6,8.905139769049947
2.7,2.7,8.036846634789915
2.8,2.8,8.216381319746086
2.9,2.9,8.120378412093899
3.0,3.0,9.301169424394185
3.1,3.1,7.417800650926565
3.2,3.2,7.301446232642111
3.3,3.3,7.217791774553272
3.4,3.4,7.901253405252773
3.5,3.5,8.364768830821436
3.6,3.6,8.140587549785833
3.7,3.7,7.803263488627097
3.8,3.8,8.959180263524816
3.9,3.9,8.317355808588173
4.0,4.0,5.58530485183357
4.1,4.1,7.9007784500086
4.2,4.2,9.259288125609869
4.3,4.3,9.462260154397436
4.4,4.4,7.080828909054711
4.5,4.5,7.881345385242991
4.6,4.6,7.995240645776308
4.7,4.7,8.936436719456664
4.8,4.8,7.1661712071334165
4.9,4.9,9.452241699649807
5.0,5.0,8.158346490002563
5.1,5.1,8.582840049921524
5.2,5.2,7.081442712282195
5.3,5.3,6.220505950670857
5.4,5.4,7.496127005794601
5.5,5.5,6.9823598282891295
5.6,5.6,7.335232700812303
5.7,5.7,8.542988748050682
5.8,5.8,7.02195269136338
5.9,5.9,9.424290687536232
6.0,6.0,9.306873596380886
6.1,6.1,9.196355082521961
6.2,6.2,8.164785733396101
6.3,6.3,7.727322016250608
6.4,6.4,8.769170243172276
6.5,6.5,7.076940510909908
6.6,6.6,7.354020079784299
6.7,6.7,7.990426159059904
6.8,6.8,7.542929619823329
6.9,6.9,7.987735019055979
7.0,7.0,7.706017943919729
7.1,7.1,7.795231654487331
7.2,7.2,7.12010927755016
7.3,7.3,8.710247042966317
7.4,7.4,8.707240076621009
7.5,7.5,8.141255569590616
7.6,7.6,7.2769552165704265
7.7,7.7,6.9691785668487585
7.8,7.8,6.470966358507891
7.9,7.9,8.055842762671325
8.0,8.0,6.731778374090782
8.1,8.1,5.7802962499035555
8.2,8.2,7.94923959790152
8.3,8.3,7.403908692848083
8.4,8.4,9.348513509128129
8.5,8.5,7.432442475750044
8.6,8.6,6.499429075145952
8.7,8.7,8.15021168630062
8.8,8.8,9.442477662981423
8.9,8.9,6.172804577374597
9.0,9.0,8.332625403145245
9.1,9.1,8.992760235345274
9.2,9.2,7.4772108454433175
9.3,9.3,7.444315174350272
9.4,9.4,7.0506256297539895
9.5,9.5,7.476888457282466
9.6,9.6,7.576761267103934
9.7,9.7,8.279111063645239
9.8,9.8,6.851894080193038
9.9,9.9,8.0806579887119
10.0,10.0,8.31735149004072
10.1,10.1,7.1641744201472335
10.2,10.2,7.3026763406214625
10.3,10.3,8.799511037160883
10.4,10.4,10.40080790855837
10.5,10.5,7.315621074599674
10.6,10.6,5.970734968824008
10.7,10.7,7.11574613499956
10.8,10.8,8.527306209099109
10.9,10.9,7.568441107945552
11.0,11.0,9.645972387890216
11.1,11.1,6.471182203358688
11.2,11.2,6.8549556940049445
11.3,11.3,10.04167022335988
11.4,11.4,6.934416846698738
11.5,11.5,7.324570853754858
11.6,11.6,8.056141439290814
11.7,11.7,7.7927798222617515
11.8,11.8,9.847332385594186
11.9,11.9,8.11804483760324
12.0,12.0,7.466648456561211
12.1,12.1,7.382787751715995
12.2,12.2,8.703925108951655
12.3,12.3,8.749736505617655
12.4,12.4,7.648617868127957
12.5,12.5,7.9051929120912945
12.6,12.6,9.323387986792495
12.7,12.7,8.693137213097877
12.8,12.8,7.339965360546222
12.9,12.9,8.555876090147073
13.0,13.0,7.969309970731962
13.1,13.1,9.085778346580945
13.2,13.2,8.256457021992517
13.3,13.3,7.5993235024256895
13.4,13.4,10.059035090301585
13.5,13.5,6.267030487904282
13.6,13.6,6.205753029645868
13.7,13.7,8.81668075443932
13.8,13.8,7.166446478845671
13.9,13.9,6.875409158506109
14.0,14.0,8.186173065820201
14.1,14.1,8.368393120118323
14.2,14.2,8.462820473880868
14.3,14.3,8.289872040538496
14.4,14.4,7.807932054188965
14.5,14.5,8.713638513745725
14.6,14.6,6.759762802111692
14.7,14.7,8.231927130800699
14.8,14.8,7.92336964371009
14.9,14.9,7.2958766150449845
15.0,15.0,7.953768876310069
15.1,15.1,6.511628637054295
15.2,15.2,8.607874580289801
15.3,15.3,7.986864114757839
15.4,15.4,7.903140377239092
15.5,15.5,9.325317057079218
15.6,15.6,8.971550458105801
15.7,15.7,8.782758795118975
15.8,15.8,7.547933728841261
15.9,15.9,6.607854389811953
16.0,16.0,6.591162070680119
16.1,16.1,8.288656875530886
16.2,16.2,9.63703976487278
16.3,16.3,11.637443860749721
16.4,16.4,6.974811410434733
16.5,16.5,9.819640274946629
