Time,x,y
0.0,0.0,7.150050370270116
0.1,0.1,5.581931646271897
0.2,0.2,8.676721398331704
0.3,0.3,10.73517033000649
0.4,0.4,10.336891127256568
0.5,0.5,5.029618554111278
0.6,0.6,8.91301424462076
0.7,0.7,8.223081314344
0.8,0.8,9.649927736767284
0.9,0.9,10.161069804591452
1.0,1.0,6.785773648009288
1.1,1.1,10.984170471366307
1.2,1.2,13.725158804826416
1.3,1.3,8.919707850637701
1.4,1.4,5.124252497903262
1.5,1.5,13.823763027203665
1.6,1.6,4.947728305875749
1.7,1.7,6.285282782610162
1.8,1.8,10.907349870830323
1.9,1.9,7.204643036042352
2.0,2.0,10.854242169656237
2.1,2.1,11.91166436781246
2.2,2.2,10.78735055545597
2.3,2.3,6.134094266228926
2.4,2.4,4.968143246923155
2.5,2.5,7.071337529568375
2.6,2.6,6.48249532136898
2.7,2.7,7.400609072559221
2.8,2.8,10.783338714602236
2.9,2.9,5.088987219701984
3.0,3.0,8.664699185026508
3.1,3.1,8.055956575353962
3.2,3.2,10.44842264610454
3.3,3.3,9.411764272149679
3.4,3.4,10.516062772462343
3.5,3.5,10.08208088226819
3.6,3.6,6.3218744729747325
3.7,3.7,11.26227238781232
3.8,3.8,10.770334278742112
3.9,3.9,8.419539069054434
4.0,4.0,9.772332614186737
4.1,4.1,8.026712318602847
4.2,4.2,7.843676851815591
4.3,4.3,8.556177092857027
4.4,4.4,6.96815030632885
4.5,4.5,9.908163795105429
4.6,4.6,9.805821609136709
4.7,4.7,10.216102078164699
4.8,4.8,7.280986540373449
4.9,4.9,11.025206420390147
5.0,5.0,8.993962245313343
5.1,5.1,8.441487773385624
5.2,5.2,8.566827823998512
5.3,5.3,9.497461685592954
5.4,5.4,9.825264063753263
5.5,5.5,11.07386779301945
5.6,5.6,9.099402985646426
5.7,5.7,6.155963041622504
5.8,5.8,11.958675854337596
5.9,5.9,10.278866211646966
6.0,6.0,9.288831219958825
6.1,6.1,6.562341464427483
6.2,6.2,12.901568330785913
6.3,6.3,6.439973342053514
6.4,6.4,8.253026214698998
6.5,6.5,5.196473857563399
6.6,6.6,10.670308282179024
6.7,6.7,9.290421442458586
6.8,6.8,12.168831723283922
6.9,6.9,9.171662222836833
7.0,7.0,6.419441060276182
7.1,7.1,10.980037384280925
7.2,7.2,6.241850981827677
7.3,7.3,10.608115252597111
7.4,7.4,7.118535690920318
7.5,7.5,11.427463302083481
7.6,7.6,9.075583145410059
7.7,7.7,7.356307747057585
7.8,7.8,7.6503788135626865
7.9,7.9,9.961572092337093
8.0,8.0,7.511964456650766
8.1,8.1,7.965229281194297
8.2,8.2,8.02392521996397
8.3,8.3,8.577206004261182
8.4,8.4,10.22282113221345
8.5,8.5,9.107577741441458
8.6,8.6,11.143203449348025
8.7,8.7,8.198665274038667
8.8,8.8,8.77521615277082
8.9,8.9,8.593792788411472
9.0,9.0,7.830347202993268
9.1,9.1,13.725020927846487
9.2,9.2,8.440079793069124
9.3,9.3,8.563656951127113
9.4,9.4,11.901982621260254
9.5,9.5,10.15310095661356
9.6,9.6,5.623192618470375
9.7,9.7,5.518892788471366
9.8,9.8,7.7613317689209556
9.9,9.9,6.093096865504306
10.0,10.0,8.07738945091495
10.1,10.1,11.733641183590247
10.2,10.2,9.139853339087676
10.3,10.3,8.079379936888758
10.4,10.4,6.610453123134769
10.5,10.5,6.503784255918391
10.6,10.6,7.330119648449823
10.7,10.7,4.636527910966141
10.8,10.8,8.506535199283526
10.9,10.9,9.058815083509742
11.0,11.0,11.128924838433264
11.1,11.1,12.10561410360072
11.2,11.2,9.639778761980782
11.3,11.3,9.180588361022245
11.4,11.4,8.861454702954832
11.5,11.5,8.519278352969597
11.6,11.6,6.646999611523597
11.7,11.7,12.220662231169253
11.8,11.8,11.402928793246964
11.9,11.9,8.27709098608334
12.0,12.0,7.175152442238474
12.1,12.1,12.994841683904232
12.2,12.2,10.334426211898736
12.3,12.3,6.9681622609831955
12.4,12.4,7.390462218756244
12.5,12.5,9.131244701916456
