Time|s,xin,reset|bool,TL,BL,dT|s,ic,yout
0,0.544794714790425,0,10,-10,0,0,1e-10
0.1,0.544794714790425,0,10,-10,0.1,0,0.0544794715790425
0.2,0.544794714790425,0,10,-10,0.1,0,0.108958943058085
0.3,0.544794714790425,0,10,-10,0.1,0,0.163438414537128
0.4,0.544794714790425,0,10,-10,0.1,0,0.21791788601617
0.5,0.544794714790425,0,10,-10,0.1,0,0.272397357495213
0.6,0.544794714790425,0,10,-10,0.1,0,0.326876828974255
0.7,0.544794714790425,0,10,-10,0.1,0,0.381356300453298
0.8,0.544794714790425,0,10,-10,0.1,0,0.43583577193234
0.9,0.544794714790425,0,10,-10,0.1,0,0.490315243411383
1,0.544794714790425,0,10,-10,0.1,0,0.544794714890425
1.1,0.544794714790425,0,10,-10,0.1,0,0.599274186369468
1.2,0.544794714790425,0,10,-10,0.1,0,0.65375365784851
1.3,0.544794714790425,0,10,-10,0.0999999999999999,0,0.708233129327553
1.4,0.544794714790425,0,10,-10,0.1,0,0.762712600806595
1.5,0.544794714790425,0,10,-10,0.0999999999999999,0,0.817192072285638
1.6,0.544794714790425,0,10,-10,0.1,0,0.87167154376468
1.7,0.544794714790425,0,10,-10,0.1,0,0.926151015243723
1.8,0.544794714790425,0,10,-10,0.0999999999999999,0,0.980630486722765
1.9,0.544794714790425,0,10,-10,0.1,0,1.03510995820181
2,0.544794714790425,0,10,-10,0.0999999999999999,0,1.08958942968085
2.1,0.544794714790425,0,10,-10,0.1,0,1.14406890115989
2.2,0.544794714790425,0,10,-10,0.1,0,1.19854837263894
2.3,0.544794714790425,0,10,-10,0.1,0,1.25302784411798
2.4,0.544794714790425,0,10,-10,0.1,0,1.30750731559702
2.5,0.544794714790425,0,10,-10,0.0999999999999996,0,1.36198678707606
2.6,0.544794714790425,0,10,-10,0.1,0,1.41646625855511
2.7,0.544794714790425,0,10,-10,0.1,0,1.47094573003415
2.8,0.544794714790425,0,10,-10,0.1,0,1.52542520151319
2.9,0.544794714790425,0,10,-10,0.1,0,1.57990467299223
3,0.544794714790425,0,10,-10,0.0999999999999996,0,1.63438414447128
3.1,0.544794714790425,0,10,-10,0.1,0,1.68886361595032
3.2,0.544794714790425,0,10,-10,0.1,0,1.74334308742936
3.3,0.544794714790425,0,10,-10,0.1,0,1.7978225589084
3.4,0.544794714790425,0,10,-10,0.1,0,1.85230203038745
3.5,0.544794714790425,0,10,-10,0.0999999999999996,0,1.90678150186649
3.6,0.544794714790425,0,10,-10,0.1,0,1.96126097334553
3.7,0.544794714790425,0,10,-10,0.1,0,2.01574044482457
3.8,0.544794714790425,0,10,-10,0.1,0,2.07021991630362
3.9,0.544794714790425,0,10,-10,0.1,0,2.12469938778266
4,0.544794714790425,0,10,-10,0.0999999999999996,0,2.1791788592617
4.1,0.544794714790425,0,10,-10,0.100000000000001,0,2.23365833074074
4.2,0.544794714790425,0,10,-10,0.0999999999999996,0,2.28813780221979
4.3,0.544794714790425,0,10,-10,0.0999999999999996,0,2.34261727369883
4.4,0.544794714790425,0,10,-10,0.100000000000001,0,2.39709674517787
4.5,0.544794714790425,0,10,-10,0.0999999999999996,0,2.45157621665691
4.6,0.544794714790425,0,10,-10,0.100000000000001,0,2.50605568813596
4.7,0.544794714790425,0,10,-10,0.0999999999999996,0,2.560535159615
4.8,0.544794714790425,0,10,-10,0.100000000000001,0,2.61501463109404
4.9,0.544794714790425,0,10,-10,0.0999999999999996,0,2.66949410257308
5,0.544794714790425,0,10,-10,0.0999999999999996,0,2.72397357405213
5.1,0.544794714790425,0,10,-10,0.100000000000001,0,2.77845304553117
5.2,0.544794714790425,0,10,-10,0.0999999999999996,0,2.83293251701021
5.3,0.544794714790425,0,10,-10,0.100000000000001,0,2.88741198848925
5.4,0.544794714790425,0,10,-10,0.0999999999999996,0,2.9418914599683
5.5,0.544794714790425,0,10,-10,0.0999999999999996,0,2.99637093144734
5.6,0.544794714790425,0,10,-10,0.100000000000001,0,3.05085040292638
5.7,0.544794714790425,0,10,-10,0.0999999999999996,0,3.10532987440542
5.8,0.544794714790425,0,10,-10,0.100000000000001,0,3.15980934588446
5.9,0.544794714790425,0,10,-10,0.0999999999999996,0,3.21428881736351
6,0.544794714790425,0,10,-10,0.0999999999999996,0,3.26876828884255
