Time|s,x|s,y|m
0.0,0.0,12.738070252091912
0.1,0.1,12.049253775322677
0.2,0.2,15.2737865999156
0.3,0.3,9.03683623065348
0.4,0.4,11.023985163917821
0.5,0.5,13.179692670847091
0.6,0.6,16.730741998397004
0.7,0.7,17.278343287199082
0.8,0.8,15.26942345513011
0.9,0.9,12.56780558218259
1.0,1.0,8.715079794535823
1.1,1.1,19.581649046922557
1.2,1.2,10.663061621896688
1.3,1.3,14.9552447426369
1.4,1.4,10.881440066430258
1.5,1.5,12.85497057306303
1.6,1.6,14.642691695476366
1.7,1.7,15.96075868450513
1.8,1.8,9.72157431363074
1.9,1.9,13.85641484816247
2.0,2.0,5.631032694456879
2.1,2.1,11.098758919992322
2.2,2.2,13.513503210123323
2.3,2.3,10.644439907920058
2.4,2.4,10.521463763470964
2.5,2.5,6.384740491303461
2.6,2.6,10.606662682513235
2.7,2.7,5.506372970428126
2.8,2.8,14.699273306570753
2.9,2.9,7.875596234086299
3.0,3.0,9.618550366951295
3.1,3.1,9.857562314867542
3.2,3.2,8.956745051386235
3.3,3.3,13.135805701571037
3.4,3.4,11.185490776498646
3.5,3.5,10.927555889813256
3.6,3.6,8.661100089702916
3.7,3.7,11.653593002153817
3.8,3.8,9.519199694503415
3.9,3.9,9.965119475405274
4.0,4.0,13.674757974211364
4.1,4.1,14.905463483013062
4.2,4.2,11.986248273482058
4.3,4.3,15.827957495157241
4.4,4.4,11.567044658860809
4.5,4.5,12.03056682918198
4.6,4.6,13.218926983543456
4.7,4.7,10.138008252828563
4.8,4.8,18.02020392642838
4.9,4.9,14.840074560094148
5.0,5.0,12.191514917109183
5.1,5.1,16.51989532534155
5.2,5.2,11.563664101005582
5.3,5.3,9.961965183601176
5.4,5.4,9.898813255932765
5.5,5.5,11.117556207126178
5.6,5.6,11.040628837456019
5.7,5.7,10.715004950176027
5.8,5.8,13.695744525292572
5.9,5.9,5.727691911436857
6.0,6.0,10.007862808672186
6.1,6.1,5.383660612633316
6.2,6.2,11.675820935767195
6.3,6.3,12.788941077013524
6.4,6.4,14.83156834613996
6.5,6.5,16.221977734798344
6.6,6.6,12.639584463531188
6.7,6.7,14.764152657956938
6.8,6.8,7.744883598975036
6.9,6.9,17.08842229771142
7.0,7.0,7.828233155706085
7.1,7.1,10.845515225135086
7.2,7.2,13.293408137157613
7.3,7.3,9.96666782307604
7.4,7.4,9.01217738031352
7.5,7.5,7.511255585405394
7.6,7.6,11.124560775568929
7.7,7.7,13.69018732673939
7.8,7.8,13.832788516385495
7.9,7.9,8.896752043835182
8.0,8.0,9.383033619244586
8.1,8.1,15.139476577234458
8.2,8.2,13.551282321658565
8.3,8.3,14.473421334769991
8.4,8.4,9.019008551531233
8.5,8.5,11.492732589364834
8.6,8.6,8.349745873694744
8.7,8.7,12.26587205369842
8.8,8.8,9.182312676963925
8.9,8.9,13.278821619685651
9.0,9.0,9.912047224667088
9.1,9.1,15.810983135010835
9.2,9.2,14.81164166785911
9.3,9.3,18.25689440875498
9.4,9.4,5.94515213739794
9.5,9.5,4.704130954684155
9.6,9.6,12.046545560099513
9.7,9.7,12.719400354704169
9.8,9.8,11.881912372616105
9.9,9.9,9.989917459129387
10.0,10.0,11.40826788941993
10.1,10.1,10.000549698241006
10.2,10.2,12.75280850340348
10.3,10.3,12.13895326846398
10.4,10.4,9.524571556731916
10.5,10.5,7.171932550128459
10.6,10.6,12.321857848551204
10.7,10.7,14.920247321712386
10.8,10.8,14.958052174060091
10.9,10.9,9.607140619869359
11.0,11.0,8.915427072537224
11.1,11.1,8.892132946225326
11.2,11.2,13.627798237782285
11.3,11.3,19.573816720871942
11.4,11.4,10.291378463662758
11.5,11.5,9.335074161688734
11.6,11.6,11.343785542298397
11.7,11.7,10.555534790986574
11.8,11.8,17.578804534020136
11.9,11.9,8.064090298320775
12.0,12.0,14.66755232136126
12.1,12.1,11.20100297796042
12.2,12.2,8.060895251232013
12.3,12.3,9.224337136507495
12.4,12.4,12.342909525056918
12.5,12.5,16.477990777232243
12.6,12.6,13.79816709704022
12.7,12.7,9.488329996256683
12.8,12.8,17.942035914690514
12.9,12.9,11.653105401947235
13.0,13.0,11.482023220447402
13.1,13.1,8.750418729148597
13.2,13.2,12.178817039477474
13.3,13.3,8.542843384024625
13.4,13.4,11.33540988668392
13.5,13.5,11.54436044076331
13.6,13.6,12.126852103152594
13.7,13.7,12.520106194989106
13.8,13.8,7.0895534473703385
13.9,13.9,17.408795669883133
14.0,14.0,11.21754198716281
14.1,14.1,6.67367621766506
14.2,14.2,16.45929865084507
14.3,14.3,8.704664794206995
14.4,14.4,10.484164661411661
14.5,14.5,13.26051134308577
14.6,14.6,10.753191540855795
14.7,14.7,7.053071512488696
14.8,14.8,18.168604290579324
14.9,14.9,9.71082081047984
15.0,15.0,15.121966740328915
15.1,15.1,16.786598672279585
15.2,15.2,14.78700007172076
15.3,15.3,10.527654238102569
15.4,15.4,14.958285434718487
15.5,15.5,12.11313528052129
15.6,15.6,7.421257717037069
15.7,15.7,8.013808438245198
15.8,15.8,12.865072917920335
15.9,15.9,12.763567163870917
16.0,16.0,13.334995261182732
16.1,16.1,14.637018690409516
16.2,16.2,9.606289321899332
16.3,16.3,9.341080020668233
16.4,16.4,7.7635105911651605
16.5,16.5,6.681478492011482
16.6,16.6,8.91774664271105
16.7,16.7,11.332995499274832
16.8,16.8,12.679350354412662
16.9,16.9,5.210609071432181
17.0,17.0,18.509554053049193
17.1,17.1,8.80088871431134
17.2,17.2,13.707533145752084
17.3,17.3,9.827436935955149
17.4,17.4,14.93844291014656
17.5,17.5,16.771011890289714
17.6,17.6,6.591184556084059
17.7,17.7,11.050452387432394
17.8,17.8,10.46834506616847
17.9,17.9,9.898485759726537
18.0,18.0,9.430572470411157
18.1,18.1,13.408653686034711
18.2,18.2,5.830391010701328
18.3,18.3,8.283984358091773
18.4,18.4,11.743167050939231
18.5,18.5,18.378069681179174
18.6,18.6,12.29307135002346
18.7,18.7,11.01920415750467
18.8,18.8,9.849629467162943
18.9,18.9,2.187131222575319
19.0,19.0,12.992836286031409
19.1,19.1,12.294898597921064
19.2,19.2,8.989645562300202
19.3,19.3,11.873469167261357
19.4,19.4,7.218210554118591
19.5,19.5,12.096902089559302
19.6,19.6,15.75547267161712
19.7,19.7,16.378567541440432
19.8,19.8,15.774624317096682
19.9,19.9,14.928182427993569
